chrom	end	end_orig	end_prox	pos	start	start_orig	start_prox	bin
1	0	6896116	6893411	0.0	0	6892116	6893411	0.0
1	0	8807005	8804936	0.0	0	8803005	8804936	0.0
1	0	8807005	8805190	0.0	0	8803005	8805190	0.0
1	0	10506751	10504194	0.0	0	10500751	10504194	0.0
1	0	12464694	12460967	0.0	0	12460694	12460967	0.0
1	0	12464694	12461726	0.0	0	12460694	12461726	0.0
1	0	12464694	12462606	0.0	0	12460694	12462606	0.0
1	0	12464694	12463824	0.0	0	12460694	12463824	0.0
1	0	12666512	12661113	0.0	0	12656512	12661113	0.0
1	0	13829010	13821489	0.0	0	13817010	13821489	0.0
1	0	13829010	13822399	0.0	0	13817010	13822399	0.0
1	0	14400003	14397199	0.0	0	14392003	14397199	0.0
1	0	14400003	14399490	0.0	0	14392003	14399490	0.0
1	0	15118507	15115004	0.0	0	15112507	15115004	0.0
1	0	15118507	15115833	0.0	0	15112507	15115833	0.0
1	0	15179881	15175834	0.0	0	15173881	15175834	0.0
1	0	15179881	15176422	0.0	0	15173881	15176422	0.0
1	0	15179881	15177030	0.0	0	15173881	15177030	0.0
1	0	15286222	15281677	0.0	0	15280222	15281677	0.0
1	0	15286222	15282722	0.0	0	15280222	15282722	0.0
1	0	15631047	15629281	0.0	0	15627047	15629281	0.0
1	0	16725015	16723144	0.0	0	16721015	16723144	0.0
1	0	17916508	17912384	0.0	0	17910508	17912384	0.0
1	0	17916508	17913146	0.0	0	17910508	17913146	0.0
1	0	19503011	19501728	0.0	0	19499011	19501728	0.0
1	0	20381019	20378059	0.0	0	20375019	20378059	0.0
1	0	20381019	20379336	0.0	0	20375019	20379336	0.0
1	0	20444019	20436377	0.0	0	20428019	20436377	0.0
1	0	20444019	20441831	0.0	0	20428019	20441831	0.0
1	0	20699371	20694536	0.0	0	20691371	20694536	0.0
1	0	20699371	20695270	0.0	0	20691371	20695270	0.0
1	0	20699371	20695946	0.0	0	20691371	20695946	0.0
1	0	20699371	20696344	0.0	0	20691371	20696344	0.0
